study,citation_key,title,authors,year,venue,primary_interface,secondary_tags,domain_benchmark_family,rl_update,status,inventory_group,doi,doi_url,url,link_type,metadata_source,metadata_notes
ExploRLLM,ma2024explorllm,ExploRLLM: guiding exploration in reinforcement learning with large language models,"Ma, Runyu and Luijkx, Jelle and Ajanovi\'c, Zlatan and Kober, Jens",2024,Robotics: Science and Systems 2024 Workshop on Deep Generative Robotics (DGR),Reward,exploration hints; subgoals,sparse-reward RL; long-horizon tasks,Yes,in scope,Reward / feedback: in-scope,10.48550/arXiv.2403.09583,https://doi.org/10.48550/arXiv.2403.09583,https://openreview.net/forum?id=NT2zgVXHn5,openreview,local_bib; doi_lookup_2026-06-22,DOI added after exact-title public metadata lookup.
Self-Alignment for Robot Skills,Zeng2024,Learning reward for robot skills using large language models via self-alignment,"Zeng, Yuwei and Mu, Yao and Shao, Lin",2024,Proceedings of the 41st International Conference on Machine Learning,Reward,success labeling; reward learning,robotics; robot-skill tasks,Yes,in scope,Reward / feedback: in-scope,10.48550/arXiv.2405.07162,https://doi.org/10.48550/arXiv.2405.07162,https://proceedings.mlr.press/v235/zeng24d.html,pmlr,local_bib; doi_lookup_2026-06-22,DOI added after exact-title public metadata lookup.
ReWiND,zhang2025rewind,ReWiND: Language-Guided Rewards Teach Robot Policies without New Demonstrations,"Zhang, Jiahui and Luo, Yusen and Anwar, Abrar and Sontakke, Sumedh A. and Lim, Joseph J. and Thomason, Jesse and Biyik, Erdem and Zhang, Jesse",2025,Conference on Robot Learning (CoRL),Reward,language-conditioned reward transfer,robotics; unseen manipulation tasks,Yes,in scope,Reward / feedback: in-scope,10.48550/arXiv.2505.10911,https://doi.org/10.48550/arXiv.2505.10911,https://arxiv.org/abs/2505.10911,arxiv,local_bib; doi_lookup_2026-06-22,DOI derived from a local BibTeX arXiv eprint identifier.
SayCan,Ichter2022saycan,"Do As I Can, Not As I Say: Grounding Language in Robotic Affordances","Ichter, Brian and Brohan, Anthony and Chebotar, Yevgen and Finn, Chelsea and Hausman, Karol and others",2022,Proceedings of the 6th Conference on Robot Learning (CoRL),Policy,grounded planner; feasibility filter,robotics; real-robot instruction following,No,in scope,Policy / decision: in-scope,10.48550/arXiv.2204.01691,https://doi.org/10.48550/arXiv.2204.01691,https://arxiv.org/abs/2204.01691,arxiv,local_bib; doi_lookup_2026-06-22,DOI derived from a local BibTeX arXiv eprint identifier.
LLaRP,Szot2024,Large language models as generalizable policies for embodied tasks,"Szot, Andrew and Schwarzer, Max and Agrawal, Harsh and Mazoure, Bogdan and Talbott, Walter and Metcalf, Katherine and Mackraz, Natalie and Hjelm, Devon and Toshev, Alexander",2024,Proceedings of the International Conference on Learning Representations (ICLR),Policy,embodied RL finetuning; lightweight adapters,embodied household tasks; HH1k and unseen instructions,Yes,in scope,Policy / decision: in-scope,10.48550/arXiv.2310.17722,https://doi.org/10.48550/arXiv.2310.17722,https://openreview.net/forum?id=u6imHU4Ebu,openreview,local_bib; doi_lookup_2026-06-22,DOI added after exact-title public metadata lookup.
LLM Priors for RL,yan2025llmpriors,Efficient Reinforcement Learning with Large Language Model Priors,"Yan, Xue and Song, Yan and Feng, Xidong and Yang, Mengyue and Zhang, Haifeng and Bou Ammar, Haitham and Wang, Jun",2025,International Conference on Learning Representations (ICLR),Policy,fixed LLM action prior; Bayesian RL,sequential decision making; policy/value RL benchmarks,Yes,in scope,Policy / decision: in-scope,10.48550/arXiv.2410.07927,https://doi.org/10.48550/arXiv.2410.07927,https://iclr.cc/virtual/2025/poster/28953,publisher_or_project,local_bib; doi_lookup_2026-06-22,DOI added after exact-title public metadata lookup.
LM-Nav,Shah2022lmnav,"LM-Nav: Robotic Navigation with Large Pre-Trained Models of Language, Vision, and Action","Shah, Dhruv and Osinski, Blazej and Ichter, Brian and Levine, Sergey",2023,Proceedings of The 6th Conference on Robot Learning,Policy,planner plus RL controller; VLM grounding,robotic navigation; novel navigation environments,Yes,in scope,Policy / decision: in-scope,10.48550/arXiv.2207.04429,https://doi.org/10.48550/arXiv.2207.04429,https://proceedings.mlr.press/v205/shah23b.html,pmlr,local_bib; doi_lookup_2026-06-22,DOI added after exact-title public metadata lookup.
TWOSOME,Tan2024,True knowledge comes from practice: Aligning large language models with embodied environments via reinforcement learning,"Tan, Weihao and Zhang, Wentao and Liu, Shanqi and Zheng, Longtao and Wang, Xinrun and An, Bo",2024,Proceedings of the International Conference on Learning Representations (ICLR),Policy,LoRA PPO; actor-critic,"household and collaboration; Overcooked, VirtualHome",Yes,in scope,Policy / decision: in-scope,10.48550/arXiv.2401.14151,https://doi.org/10.48550/arXiv.2401.14151,https://openreview.net/forum?id=hILVmJ4Uvu,openreview,local_bib; doi_lookup_2026-06-22,DOI added after exact-title public metadata lookup.
LLM as Policy Teacher,Zhou2024,Large Language Model as a Policy Teacher for Training Reinforcement Learning Agents,"Zhou, Zihao and Hu, Bin and Zhao, Chenyang and Zhang, Pu and Liu, Bin",2024,Proceedings of the 33rd International Joint Conference on Artificial Intelligence (IJCAI-24),Policy,teacher guidance; distillation,embodied RL; sample-efficiency benchmarks,Yes,in scope,Policy / decision: in-scope,10.24963/ijcai.2024/627,https://doi.org/10.24963/ijcai.2024/627,https://doi.org/10.24963/ijcai.2024/627,doi,local_bib; doi_lookup_2026-06-22,DOI verified from local BibTeX metadata.
KALM,Pang2024,KALM: Knowledgeable agents by offline reinforcement learning from large language model rollouts,"Pang, Jing-Cheng and Yang, Si-Hang and Li, Kaiyuan and Chen, Xiong-Hui and Tang, Nan and Yu, Yang",2024,Advances in Neural Information Processing Systems (NeurIPS),Policy,offline augmentation; LLM rollouts,offline RL; logged interaction tasks,Yes,in scope,Policy / decision: in-scope,10.52202/079017-4022,https://doi.org/10.52202/079017-4022,https://proceedings.neurips.cc/paper_files/paper/2024/hash/e4cdb4090e04816422afcbb08d4badcf-Abstract-Conference.html,neurips,local_bib; doi_lookup_2026-06-22,DOI verified from local BibTeX metadata.
Retroformer,Yao2024,Retroformer: Retrospective Large Language Agents with Policy Gradient Optimization,"Yao, Weiran and Heinecke, Shelby and Niebles, Juan Carlos and Liu, Zhiwei and Feng, Yihao and Xue, Le and R N, Rithesh and Chen, Zeyuan and Zhang, Jianguo and Arpit, Devansh and Xu, Ran and Mui, Phil L. and Wang, Huan and Xiong, Caiming and Savarese, Silvio",2024,Proceedings of the International Conference on Learning Representations (ICLR),Policy,retrospective policy gradients,long-horizon language agents; logged traces,Yes,in scope,Policy / decision: in-scope,10.48550/arXiv.2308.02151,https://doi.org/10.48550/arXiv.2308.02151,https://openreview.net/forum?id=KOZu91CzbK,openreview,local_bib; doi_lookup_2026-06-22,DOI added after exact-title public metadata lookup.
Werewolf LLM-RL,Xu2024,Language agents with reinforcement learning for strategic play in the Werewolf game,"Xu, Zelai and Yu, Chao and Fang, Fei and Wang, Yu and Wu, Yi",2024,Proceedings of the 41st International Conference on Machine Learning,Policy,RL-tuned dialogue; strategic communication,social-deduction game; Werewolf,Yes,in scope,Policy / decision: in-scope,10.48550/arXiv.2310.18940,https://doi.org/10.48550/arXiv.2310.18940,https://proceedings.mlr.press/v235/xu24ad.html,pmlr,local_bib; doi_lookup_2026-06-22,DOI added after exact-title public metadata lookup.
Code-as-Policies,liang2022codeaspolicies,Code as Policies: Language Model Programs for Embodied Control,"Liang, Jacky and Huang, Wenlong and Xia, Fei and Xu, Peng and Hausman, Karol and Ichter, Brian and Florence, Pete and Zeng, Andy",2023,2023 IEEE International Conference on Robotics and Automation (ICRA),Policy,code policy; API tools,robotics; manipulation APIs,No,adjacent exemplar,Policy / decision: adjacent exemplars,10.1109/ICRA48891.2023.10160591,https://doi.org/10.1109/ICRA48891.2023.10160591,https://doi.org/10.1109/ICRA48891.2023.10160591,doi,local_bib; doi_lookup_2026-06-22,DOI verified from local BibTeX metadata.
ReAct,yao2022react,ReAct: Synergizing Reasoning and Acting in Language Models,"Yao, Shunyu and Zhao, Jeffrey and Yu, Dian and Du, Nan and Shafran, Izhak and Narasimhan, Karthik R and Cao, Yuan",2023,International Conference on Learning Representations,Policy,reasoning-act trace precedent,web and text interaction benchmark settings; ALFWorld or WebShop-style tasks,No,adjacent exemplar,Policy / decision: adjacent exemplars,10.48550/arXiv.2210.03629,https://doi.org/10.48550/arXiv.2210.03629,https://openreview.net/forum?id=WE_vluYUL-X,openreview,local_bib; doi_lookup_2026-06-22,DOI added after exact-title public metadata lookup.
RT-2,Brohan2023rt2,RT-2: Vision-Language-Action Models Transfer Web Knowledge to Robotic Control,"Brohan, Anthony and Brown, Noah and Carbajal, Justice and Chebotar, Yevgen and Chen, Xi and others",2023,Proceedings of The 7th Conference on Robot Learning,Policy,vision-language-action precedent,robotics; language-conditioned manipulation,No,adjacent exemplar,Policy / decision: adjacent exemplars,10.48550/arXiv.2307.15818,https://doi.org/10.48550/arXiv.2307.15818,https://proceedings.mlr.press/v229/zitkovich23a.html,pmlr,local_bib; doi_lookup_2026-06-22,DOI added after exact-title public metadata lookup.
Inner Monologue,Huang2022inner,Inner Monologue: Embodied Reasoning through Planning with Language Models,"Huang, Wenlong and Xia, Fei and Xiao, Ted and Chan, Harris and Liang, Jacky and Florence, Pete and Zeng, Andy and Tompson, Jonathan and Mordatch, Igor and Chebotar, Yevgen and Sermanet, Pierre and Jackson, Tomas and Brown, Noah and Luu, Linda and Levine, Sergey and Hausman, Karol and Ichter, Brian",2023,Proceedings of The 6th Conference on Robot Learning,Policy,self-talk; feedback-interface precedent,embodied control; long-horizon missions,No,adjacent exemplar,Policy / decision: adjacent exemplars,10.48550/arXiv.2207.05608,https://doi.org/10.48550/arXiv.2207.05608,https://proceedings.mlr.press/v205/huang23c.html,pmlr,local_bib; doi_lookup_2026-06-22,DOI added after exact-title public metadata lookup.
Reflexion,shinn2023reflexion,Reflexion: language agents with verbal reinforcement learning,"Shinn, Noah and Cassano, Federico and Gopinath, Ashwin and Narasimhan, Karthik and Yao, Shunyu",2023,Advances in Neural Information Processing Systems,Policy,reflective memory precedent,text and web agents; ALFWorld-style tasks,No,adjacent exemplar,Policy / decision: adjacent exemplars,10.52202/075280-0377,https://doi.org/10.52202/075280-0377,https://papers.nips.cc/paper_files/paper/2023/hash/1b44b878bb782e6954cd888628510e90-Abstract-Conference.html,neurips,local_bib; doi_lookup_2026-06-22,DOI added after exact-title public metadata lookup.
Voyager,Wang2023Voyager,Voyager: An Open-Ended Embodied Agent with Large Language Models,"Wang, Guanzhi and Xie, Yuqi and Jiang, Yunfan and Mandlekar, Ajay and Xiao, Chaowei and Zhu, Yuke and Fan, Linxi and Anandkumar, Anima",2024,Transactions on Machine Learning Research,Policy,skill library; code-synthesis precedent,open-ended game environment; Minecraft,No,adjacent exemplar,Policy / decision: adjacent exemplars,10.48550/arXiv.2305.16291,https://doi.org/10.48550/arXiv.2305.16291,https://openreview.net/forum?id=ehfRiF0R3a,openreview,local_bib; doi_lookup_2026-06-22,DOI derived from a local BibTeX arXiv eprint identifier.
ExpeL,Zhao2024,ExpeL: LLM Agents Are Experiential Learners,"Zhao, Andrew and Huang, Daniel and Xu, Quentin and Lin, Matthieu and Liu, Yong-Jin and Huang, Gao",2024,Proceedings of the AAAI Conference on Artificial Intelligence (AAAI),Policy,experiential-memory precedent,interactive agents; long-horizon tasks,No,adjacent exemplar,Policy / decision: adjacent exemplars,10.1609/AAAI.V38I17.29936,https://doi.org/10.1609/AAAI.V38I17.29936,https://doi.org/10.1609/AAAI.V38I17.29936,doi,local_bib; doi_lookup_2026-06-22,DOI verified from local BibTeX metadata.
CICERO,Bakhtin2022,Human-level play in the game of Diplomacy by combining language models with strategic reasoning,"Bakhtin, Anton and Brown, Noam and Dinan, Emily and Farina, Gabriele and Flaherty, Colin and Fried, Daniel and others",2022,Science,Policy,negotiation; strategic-play precedent,strategic game; Diplomacy,No,adjacent exemplar,Policy / decision: adjacent exemplars,10.1126/science.ade9097,https://doi.org/10.1126/science.ade9097,https://doi.org/10.1126/science.ade9097,doi,local_bib; doi_lookup_2026-06-22,DOI verified from local BibTeX metadata.
Vision & Olfaction Fusion,Hassan2024Olfaction,Integrating Vision and Olfaction via Multi-Modal LLM for Robotic Odor Source Localization,"Hassan, Sunzid and Wang, Lingxiao and Mahmud, Khan Raqib",2024,Sensors,Environment,multimodal state abstraction,robotics; odor-source localization,No,in scope,Environment / interaction: in-scope,10.3390/s24247875,https://doi.org/10.3390/s24247875,https://doi.org/10.3390/s24247875,doi,local_bib; doi_lookup_2026-06-22,DOI verified from local BibTeX metadata.
DriveMLM,Wenhai2023DriveMLM,DriveMLM: Aligning Multi-Modal Large Language Models with Behavioral Planning States for Autonomous Driving,Wenhai Wang and Jiangwei Xie and Chuanyang Hu and Haoming Zou and Jianan Fan and Wenwen Tong and Yang Wen and Silei Wu and Hanming Deng and Zhiqi Li and Hao Tian and Lewei Lu and Xizhou Zhu and Xiaogang Wang and Yu Qiao and Jifeng Dai,2023,arXiv,Environment,semantic state abstraction,driving; CARLA,No,in scope,Environment / interaction: in-scope,10.48550/arXiv.2312.09245,https://doi.org/10.48550/arXiv.2312.09245,https://arxiv.org/abs/2312.09245,arxiv,local_bib; doi_lookup_2026-06-22,DOI derived from a local BibTeX arXiv eprint identifier.
GLAM,Carta2023,Grounding Large Language Models in Interactive Environments with Online Reinforcement Learning,"Carta, Thomas and Romac, Cl\'ement and Wolf, Thomas and Lamprier, Sylvain and Sigaud, Olivier and Oudeyer, Pierre-Yves",2023,Proceedings of the 40th International Conference on Machine Learning,Environment,grounded state updates; online RL,interactive text worlds,Yes,in scope,Environment / interaction: in-scope,10.48550/arXiv.2302.02662,https://doi.org/10.48550/arXiv.2302.02662,https://proceedings.mlr.press/v202/carta23a.html,pmlr,local_bib; doi_lookup_2026-06-22,DOI added after exact-title public metadata lookup.
Eurekaverse,liang2024eurekaverse,Eurekaverse: Environment Curriculum Generation via Large Language Models,"Liang, William and Wang, Sam and Wang, Hung-Ju and Bastani, Osbert and Jayaraman, Dinesh and Ma, Yecheng Jason",2024,arXiv,Environment,environment code; curriculum generation,locomotion; quadruped obstacle courses,Yes,in scope,Environment / interaction: in-scope,10.48550/arXiv.2411.01775,https://doi.org/10.48550/arXiv.2411.01775,https://arxiv.org/abs/2411.01775,arxiv,local_bib; doi_lookup_2026-06-22,DOI derived from a local BibTeX arXiv eprint identifier.
LgTS,Shukla2024,LgTS: Dynamic task sampling using LLM-generated sub-goals for reinforcement learning agents,"Shukla, Yash and Gao, Wenchang and Sarathy, Vasanth and Velasquez, Alvaro and Wright, Robert and Sinapov, Jivko",2024,Proceedings of the 23rd International Conference on Autonomous Agents and Multiagent Systems (AAMAS 2024),Environment,LLM-generated subgoals; dynamic task sampling,gridworld and navigation-style RL tasks,Yes,in scope,Environment / interaction: in-scope,10.48550/arXiv.2310.09454,https://doi.org/10.48550/arXiv.2310.09454,https://arxiv.org/abs/2310.09454,arxiv,local_bib; doi_lookup_2026-06-22,DOI added after exact-title public metadata lookup.
PaLM-E,Driess2023,PaLM-E: An embodied multimodal language model,"Driess, Danny and Xia, Fei and Sajjadi, Mehdi S. M. and Lynch, Corey and Chowdhery, Aakanksha and Ichter, Brian and Wahid, Ayzaan and Tompson, Jonathan and Vuong, Quan and Yu, Tianhe and Huang, Wenlong and Chebotar, Yevgen and Sermanet, Pierre and Duckworth, Daniel and Levine, Sergey and Vanhoucke, Vincent and Hausman, Karol and Toussaint, Marc and Greff, Klaus and Zeng, Andy and Mordatch, Igor and Florence, Pete",2023,Proceedings of the 40th International Conference on Machine Learning,Environment,multimodal semantic-interface precedent,embodied robotics; real and simulated robot tasks,No,adjacent exemplar,Environment / interaction: adjacent exemplars,10.48550/arXiv.2303.03378,https://doi.org/10.48550/arXiv.2303.03378,https://proceedings.mlr.press/v202/driess23a.html,pmlr,local_bib; doi_lookup_2026-06-22,DOI added after exact-title public metadata lookup.
Text-World State-Update Challenge,CallisonBurch2022DnD,Dungeons and Dragons as a Dialog Challenge for Artificial Intelligence,Chris Callison-Burch and Gaurav Singh Tomar and Lara J. Martin and Daphne Ippolito and Suma Bailis and David Reitter,2022,Proceedings of the 2022 Conference on Empirical Methods in Natural Language Processing (EMNLP),Environment,challenge / state-update precedent; LLM-mediated state tracking,text-world / dialogue benchmark setting,No,adjacent exemplar,Environment / interaction: adjacent exemplars,10.18653/v1/2022.emnlp-main.637,https://doi.org/10.18653/v1/2022.emnlp-main.637,https://doi.org/10.18653/v1/2022.emnlp-main.637,doi,local_bib; doi_lookup_2026-06-22,DOI verified from local BibTeX metadata.
Generative Agents,Park2023generative,Generative Agents: Interactive Simulacra of Human Behavior,"Park, Joon Sung and O'Brien, Joseph C. and Cai, Carrie J. and Morris, Meredith R. and Liang, Percy and Bernstein, Michael S.",2023,Proceedings of the 36th Annual ACM Symposium on User Interface Software and Technology (UIST),Environment,social-sandbox precedent; memory and dialogue,social simulation sandbox,No,adjacent exemplar,Environment / interaction: adjacent exemplars,10.1145/3586183.3606763,https://doi.org/10.1145/3586183.3606763,https://doi.org/10.1145/3586183.3606763,doi,local_bib; doi_lookup_2026-06-22,DOI verified from local BibTeX metadata.
